Sanskrit|Hindi|English
निरर्थकः अपि शब्दः यदि मधुरः भवेत् तदा कर्णप्रियः भवति।|निरर्थक शब्द भी यदि मधुर हो तो लोगों को अच्छा लगता है।|Even if meaningless words are sweet, people like them.
उदाहरणार्थ वीणा मृदङ्गादिनां ध्वनिः।|हम वीणा, मृदंग आदि इसके उदाहरण के रूप में उपस्थित कर सकते हैं।|We can present Veena, Mridang etc. as its examples.
अर्जुनः - भगवन्! कर्मयोगेन संसिद्धः पुरुषः यत् पवित्रं ज्ञानं तत् स्वयमेव आत्मनि प्राप्नोति इति त्वया कथितं, परन्तु तज्ज्ञानम् अन्यसाधकः केन प्रकारेण प्राप्नुयात्?|अर्जुन: भगवन्! आपने कहा है कि कर्मयोग से सिद्ध व्यक्ति जिस पवित्र ज्ञान को प्राप्त करता है, वह स्वयं में प्राप्त होता है, लेकिन कोई दूसरा साधक उस ज्ञान को कैसे प्राप्त कर सकता है?|Arjuna: Lord! You have said that the sacred knowledge which a man perfected by karma yoga attains in himself, but how can another practitioner attain that knowledge?
श्रीकृष्णः - यः संयतेन्द्रियः, साधनपरायणः, श्रद्धावान् च साधकः वर्तते, सः तज्ज्ञानं लभते। सः तत् ज्ञानं प्राप्य शीघ्रमेव परमशान्तिम् अधिगच्छति।|श्रीकृष्ण: जो संयमित इंद्रिय वाला, साधनपरायण और निष्ठावान साधक है, उसे वह ज्ञान प्राप्त होता है। वह उस ज्ञान को प्राप्त कर लेता है और शीघ्र ही परम शांति प्राप्त कर लेता है।|Sri Krishna: He who has restrained senses, is a devoted practitioner, and a faithful seeker attains that knowledge. He attains that knowledge and soon attains supreme peace.
अर्जुनः - एतस्य ज्ञानस्य प्राप्तौ काऽपि बाधा स्याद्वा भगवन्?|अर्जुन: क्या इस ज्ञान को प्राप्त करने में कोई बाधा है, भगवन्?|Arjuna: Is there any obstacle to attaining this knowledge, Lord?
श्रीकृष्णः - बाधा तु तादृशस्य जनस्य हि सम्भवेत्, यः स्वयं न किमपि जानाति, न वा अन्येषु आदरभावं प्रदर्श्य तेषां वचनं हि मन्यते, सः स्वयं हि संशयात्मा वर्तते, एतादृशः मनुष्यः अवश्यं पतति। तस्य कृते न वा अयं लोकः सुखदः भवेत्, न च परलोकः हि सुखदायी भवितुमर्हेत्। एवम् अज्ञानिनः, संशयात्मनः च मनुष्यस्य न क्वापि सुखदर्शनं सम्भवति।|श्रीकृष्ण: परंतु ऐसे व्यक्ति के लिए बाधा संभव हो सकती है जो स्वयं कुछ नहीं जानता है, या जो दूसरों का सम्मान नहीं करता है और उनकी बातों का पालन नहीं करता है, क्योंकि वह स्वयं संदेह करने वाला है, और ऐसे व्यक्ति का पतन अवश्य होता है। उसके लिए न तो यह लोक सुखद हो सकता है और न ही परलोक सुखद हो सकता है। इस प्रकार अज्ञानी और शंकालु मनुष्य के लिए कहीं भी सुख देखना संभव नहीं है।|Sri Krishna: But an obstacle may be possible for such a person who knows nothing himself, or who does not show respect for others and obey their words, for he himself is a doubter, and such a man must fall. For him this world cannot be pleasant, nor can the next world be pleasant. Thus it is not possible for an ignorant and doubting man to see happiness anywhere.
अर्जुनः - यदा मनुष्यस्य संशयभावः नश्येत् तदा किं स्यात्?|अर्जुन: जब किसी का संदेह नष्ट हो जाता है तो क्या होता है?|Arjuna: What happens when one's doubt is destroyed?
श्रीकृष्णः - हे कुन्तीपुत्र ! येन मनुष्येण समभावद्वारा समस्तकर्मणां सम्बन्धविच्छेदः विहितः, यस्य च कर्मतत्त्वज्ञानेन सम्पूर्णसंशयाः छिन्नाः, एतादृशं स्वरूपपरायणं पुरुषं कर्माणि न बध्नन्ति । तस्मात् हे धनञ्जय ! त्वं ज्ञानरूपेण असिना हृदये समुत्पन्नं सर्वं संशयं छित्त्वा समभावे स्थिरः भव, युद्धरूपकर्तव्यस्य पालनार्थं च कामम् उत्तिष्ठ इति । (४/३९-४२)|
श्रीकृष्ण: हे कुन्तीपुत्र! जिस मनुष्य ने समभाव से समस्त कर्मों को पृथक करने का विधान किया है और कर्म के तत्त्व के ज्ञान ने जिसके समस्त संदेहों को दूर कर दिया है, ऐसा मनुष्य जो अपने स्वभाव के प्रति समर्पित है, वह कर्मों से बंधता नहीं है। अत: हे धनंजय! तुम ज्ञान की तलवार से अपने हृदय में उत्पन्न हुए सभी संदेहों को काट डालो, समता में दृढ़ हो जाओ और युद्ध के रूप में अपने कर्तव्य को पूरा करने की इच्छा से उठो। (4/39-42)|Sri Krishna: O son of Kunti! A man who has prescribed the separation of all actions through equanimity, and whose knowledge of the essence of action has cut off all doubts, such a man who is devoted to his nature is not bound by actions. Therefore, O Dhananjaya! You, with the sword of knowledge, cut off all doubt that has arisen in your heart, become steadfast in equality, and rise up in desire to fulfill your duty in the form of war. (4/39-42)
इति श्रीमद्भगवद्गीतामूलग्रन्थम् आधारीकृत्य श्रीकृष्णार्जुनयोः संवादरूपेण सज्जीकृते गीताप्रश्नोतरेऽस्मिन् ज्ञानकर्मसन्यासयोगनामकः चतुर्थोऽध्यायः सम्पूर्णः।|यह गीता प्रश्नोतर के चौथे अध्याय का समापन है, जो श्रीमद्भगवद गीता के मूल पाठ पर आधारित है, जिसे श्रीकृष्ण और अर्जुन के बीच संवाद के रूप में तैयार किया गया है, जिसका नाम ज्ञान कर्म संन्यास योग है।|This is the completion of the fourth chapter of the Gita Prasnotara, based on the original text of the Srimad Bhagavad Gita, prepared as a dialogue between Sri Krishna and Arjuna, entitled Jnana Karma Sanyasa Yoga.
श्रीकृष्णार्पणमस्तु!|श्री कृष्णा के लिए अर्पित हो!|Let this be offered to Sri Krishna!
(अनुवर्तिष्यते --)|जारी रहेगा|(To be continued --)
-- नारदोपाध्यायः।|-- नारदोपाध्याय|-- Naradopadhyaya.
*श्रीरामायणकथा उत्तरकाण्डम्।*|*श्री रामायण कथा उत्तरकाण्ड।*|*Sri Ramayana Katha Uttarkanda.*
(चतुर्दशः सर्गः)|(सर्ग 14)|(Sarga 14)
नारदस्य उपदेशात् यमेन सह रावणस्य युद्धम्।|नारद की सलाह पर रावण का यम से युद्ध।||Ravana's battle with Yama on the advice of Narada.
ततः लङ्कापतिः दशग्रीवः पृथिव्यां स्थितान् मानवान् वित्रासयति स्म।|तब लंका के दस सिरों वाले स्वामी ने पृथ्वी पर मनुष्यों को भयभीत कर दिया।|Then the ten-headed lord of Lanka frightened the humans on earth.
तस्मिन्नन्तरे सः मुनिपुङ्गवं नारदम् अपश्यत्।|इसी बीच उन्हें तपस्वियों में श्रेष्ठ नारद के दर्शन पाया|In the meantime he saw Narada the foremost of ascetics.
ततः सः रावणः तस्य आगमनस्य कारणं कुशलं च अपृच्छत्।|तब रावण ने उससे आगमन का कारण और कुशल-मङ्गल पूछा।|Then Ravana asked him about the purpose of his visit and his well-being.
देवर्षिः नारदः तदा पुष्पके स्थितं रावणम् अब्रवीत् हे राक्षसराज! त्वं देवैः अवध्यः सन्नपि मनुष्यान् किमर्थं पीडयसि?|Then the devarshi Narada said to Ravana who was standing in Pushpaka, O king of the demons! Why do you torment men when the gods can't kill you?
मनुष्यलोकस्तु स्वयं हि मृत्युवशं गच्छति।|परन्तु मनुष्यों का संसार स्वयं मृत्यु के अधीन है।|But the world of men itself is subject to death.
देवदानवदैत्यानां यक्षगन्धर्वराक्षसानाम् अवध्येन त्वया मनुष्यलोकः क्लेष्टुं न योग्यः।|देवताओं, दानवों, राक्षसों, यक्षों, गंधर्वों और राक्षसों को मारकर मनुष्य जगत को कष्ट देना तुम्हें उचित नहीं है।|It is not fitting for you to torment the world of men when you can not be killed by gods, demons, demons, yakshas, gandharvas and rakshasas.
जराव्याधिशतैर्वृतम् ईदृशं लोकं कः वा हन्यात्।|बुढ़ापे और सैकड़ों रोगों से घिरे हुए ऐसे संसार को कौन मार सकता है|Who kills such a world surrounded by hundreds of old age and disease?
अतः दैवहतं क्षीयमाणं विषादशोकसम्मूढं लोकं त्वं न क्षायय।|अतः भाग्य से नष्ट और विषाद तथा दुःख से भ्रमित इस संसार को मत नष्ट करो।|Therefore do not destroy this world which is struck by fate, destructible and confused by depression and sorrow
हे महाबाहो! मनुष्यैः तेषां सुखदुःखयोः भोगकालः न ज्ञायते।|हे महाबाहो! मनुष्य को अपने सुख-दुःख के आनन्द का समय ज्ञात नहीं होता।|O mighty-armed one! Men do not know the time of their enjoyment of pleasure and pain.
अतः क्वचित् मुदितैर्जनैः वादित्रनृत्यादि सेव्यते अपिच क्वचित् अपरैः आर्तैः रुद्यते।||So sometimes happy people play musical instruments and dance and sometimes cry in distress.
मनुष्यः मातापितृपुत्रस्नेहैः भार्याबन्धुमनोरमैः मोहितः स्वं क्लेशं न बोधति।|मनुष्य अपने माता-पिता और पुत्रों के स्नेह तथा पत्नी और संबंधियों के सुखों से मोहित हो जाता है और उसे अपनी परेशानी का एहसास नहीं होता।|Man is deluded by the affections of his parents and sons and the pleasures of his wife and relatives and does not realize his trouble.
त्वया तु मर्त्यलोकः जितः इत्यत्र संशयः नास्ति।
|परंतु इसमें कोई संदेह नहीं कि आपने नश्वर संसार पर विजय प्राप्त कर ली है।|But there is no doubt that you have conquered the world of mortals.
