Sanskrit|English|Hindi
अनुपमा सूर्याय जलम् अर्पयति।|Anupama offers water to the sun.|अनुपमा सूर्य को जल अर्पण करती है।
कर्णः रथस्य चक्रम् उन्नयति।|Karna lifts the chariot wheel.|कर्ण रथ का पहिया उठाता है।
विहगाः अन्नम् अन्विषन्ति।|Birds search for food.|पंछी अन्न ढूँढते हैं।
विद्वान् शङ्कां समादधाति।|The wise person dispels doubt.|ज्ञानी शंका का समाधान करता है।
देवमन्दिरे भक्ताः भजन्ति।|Devotees worship in the temple of the deity.|भक्त देवता के मंदिर में पूजा करते हैं।
तव प्रकल्पः अयं निरर्थकः अस्ति।|This plan of yours is meaningless.|तुम्हारी यह योजना निरर्थक है।
सः प्रतिदिनं दरिद्रान् भोजयति।|He feeds the poor every day.|वह निर्धनों को हर दिन खिलाता है।
अस्य बालकस्य माता नास्ति।|This boy does not have a mother.|इस बच्चे की माँ नहीं है।
मौनी आकाशम् इङ्गते।|The silent one points at the sky.|मौनी आकाश पर संकेत करता है।
अहं त्वां कतिवारं वदानि।|How many times should I tell you?|मैं तुम्हें कितनी बार कहूँ।
यः मनुष्यः विपत्तिकालेऽपि भगवन्तमेव स्मरति तस्य विपत्तिसमये अपि लाभः एव स्यात् इति शङ्करः वक्ति।|The man who remembers Lord Vishnu, the destroyer of Madhu, in the time of calamity, this calamity turns into wealth, says Lord Shiva.|जो पुरुष इस विपत्तिकाल में मधू के संहारक भगवान् विष्णु का स्मरण करता है, उसके लिए यह विपत्ति ही सम्पत्ति में परिवर्तित हो जाती है, ऐसा शंकर जी का वचन है।
महाविपत्तौ संसारे यः स्मरेत् मधु-सूदनम् विपत्तौ तस्य सम्पत्तिः भवेत् इति आह शङ्करः॥|The man who remembers Lord Vishnu, the destroyer of Madhu, in this world of calamity, this calamity turns into wealth, says Lord Shiva.|जो पुरुष इस विपत्तिसंसार में मधू के संहारक भगवान् विष्णु का स्मरण करता है, उसके लिए यह विपत्ति ही सम्पत्ति में परिवर्तित हो जाती है, ऐसा शंकर जी का वचन है।
अयम् अहम् अस्मि मातः।|This is me, mom.|यह मैं हूँ, माँ।
तत्र त्रयः सिंहाः तिष्ठन्ति।|There are three lions there.|वहाँ तीन शेर हैं।
