Sanskrit|English|Hindi
तडागे शैवालजालं व्याप्तम्।|A net of algae has spread in the pond.|ताल में काई का जाल फैल गया है।
चन्दने भुजङ्गाः लिप्यन्ते।|Snakes cling to the sandalwood tree.|चंदन से साँप लिपटे रहते हैं।
सः भित्तौ कीलकं निखनति।|He drives a nail into the wall.|वह भीत में कील ठोकता है।
त्वं तव वचनात् मा चल।|You must not deviate from your word.|तुम अपने वचन से मत फिरो।
गोधूमस्य कणिशः स्वर्णवर्णः।|The ear of wheat is golden-colored.|गेहूँ की बाल सुनहरे रंग की है।
पल्वले मण्डूकाः प्लवन्ते।|Frogs leap in the puddle.|डबरे में मेंढक तैरते हैं।
सा तस्याः कञ्चुकं सीव्यति।|She is stitching her blouse.|वह उसकी चोली सी रही है।
अयस्कान्तेन सूचिका आकृष्टा।|The needle was attracted by the magnet.|चुंबक से सुई खिंच गई।
वृष्टिधाराः पर्णेषु पतन्ति।|Streams of rain fall on the leaves.|वर्षा की धारें पत्तों पर गिरती हैं।
वृद्धः आतपे पृष्ठं तापयति।|The old man warms the back in the sun.|वृद्ध धूप में पीठ सेंकता है।
क्षुरस्य धारा अति तीक्ष्णा।|The edge of the razor is very sharp.|छुरे की धार बहुत तीक्ष्ण है।
अजामिलेन नारायणः आहूतः।|Narayana was called by Ajamila.|अजामिल ने नारायण को पुकारा।
सः कूपे रज्जुं क्षिपति।|He throws a rope into the well.|वह कुएँ में रस्सी फेंकता है।
मम शिरः भ्रमति।|My head is spinning.|मेरा सिर घूम रहा है।
त्वं कुत्र प्रस्थास्यसे।|Where will you set out for?|तुम कहाँ प्रस्थान करोगे?
गृहगोधिका कीटं ग्रसते।|The house-lizard swallows the insect.|छिपकली कीड़े को निगलती है।
कर्पासस्य तूलः वायुना उड्डयते।|The cotton wool flies with the wind.|कपास की रुई हवा से उड़ती है।
सा तस्याः नूपुरं बध्नाति।|She ties her anklet.|वह अपनी पायल बाँधती है।
नद्याः वेगेन तटः भिद्यते।|The bank is eroded by the speed of the river.|नदी के वेग से किनारा कटता है।
श्मशाने चिताः प्रज्वलन्ति।|Pyres burn in the cremation ground.|श्मशान में चिताएँ जलती हैं।
