Sanskrit|English|Hindi
सीता यस्य जाया सः सीताजानिः|one whose wife is sita|
वीरपुरुषकः ग्रामः|village where valiant men live|
युवपत्नीकः|male who has a young wife|
पुष्पधन्वा|male with a flower as a bow|
अविद्यमाना प्रजा यस्य सः अप्रजाः|male who has no subjects|
यस्याः समीचिनं धर्म सा सुधर्माणी|fem with good dharma|
मृगस्य नयने इव नयने यस्याः सा मृगनयना मृगनयनी वा|doe-eyed|
दण्डादण्डि|stick fighting|
केशाकेशि|fight where hair is grabbed|
मुष्टीमुष्टि|boxing|
चत्वारिंशतः अधिकाः अधिकचत्वारिंशाः|something that is more than forty|
विशतेः आसन्नाः आसन्नविशाः|something that is near twenty|
दशानां समीपे ये सन्ति उपदशाः|near 10, 9 or 11|
द्विः आवृत्तं शतम् द्विशतम्|200|
एको वा द्वौ वा एकद्वौ|1 or 2|
द्वौ वा त्रयो वा द्वित्राः|2 or 3|
त्रयो वा चत्वारो वा त्रिचतुराः|3 or 4|
चत्वारि वा पञ्च वा चतुःपञ्चानि|4 or 5|
पञ्चष|5 or 6|
कुशलमातृका|fem which has excellent mother|
उपगु|one who is near a cow|
अतिनु|one whose boat has reached the destination already|
दीर्घसक्थी|fem with long thighs|
उद्धृतौदना|vessel from which rice is taken out|
प्रिये विश्वस्मिन् = प्रियविश्वे|in the beloved world|
प्रियाय उभयस्मै = प्रियोभयाय|for the both beloved
मासेन पूर्वस्मै = मासपूर्वाय|for something that is earlier than a month|
चित्रगुः|man with colourful cow(s)|
चित्रगवी|woman with colourful cow(s)|
प्रगतो नायकः अस्मात् देशात् सः प्रनायकः देशः|a country destitute of a leader|
