Hindi|English|Sanskrit
हमारे यहाँ सोने व चॉंदी के फैन्सी आभूषण आर्डर देने पर तैयार किये जाते हैं।|We also take orders for the making of decorative items with Gold and Silver in our office|अस्माकं प्रतिष्ठाने सुवर्णरजतयो: आडम्बरपूर्णाः आभूषणाः आदेशानुसारं निर्मीयन्ते।
वह संस्कृत जानता तो है।|He does know Sanskrit.|स: संस्कृतं जानाति एव/तु।
मैं पढ़ता ही तो हूं।|I do study.|अहं पठामि एव तु।
वह मुझसे मिला तो था।|He did meet me.|स: मां मिलितवान् एव/तु।
मैंने उसे लिखा तो था।|I did write to him|अहं तं लिखितवान् एवासम्।
मैंने परीक्षा तो दी थी।|I did give my exam.|अहं परीक्षां तु दत्तवान् आसम्।
वह टेनिस खेलती तो है।|He does play tennis.|स:  प्रक्षिप्त-कन्दुकक्रीडां खेलति तु/एव।
मैं जाऊंगा ही।|I will go indeed.|अहं गमिष्यामि एव।
वह मदद करेगा ही।|He will help indeed.|स: साहाय्यं करिष्यति एव।
मैं जलेबी खाता तो हूं।|I do eat jalebis.|अहं कुण्डलिनीं खादामि एव/तु।
वह यहां आई तो थी।|He did come here.|सा अत्र आगता एवासीत्।
तू तू मैं मैं मत करो|Stop squabbling|मम तव इति मा कुरु
