Hindi|Sanskrit|English
ऐसे मौत के मुँह में बैठा है, मगर साँप को देख कर काँपने लगा।|He put himself in danger but started trembling at the sight of the snake.|एवं मृत्यो: समीपम् उपविष्टोऽस्ति,परन्तु सर्पं दृष्टवा कम्पितुमारभत।
वे दोनों उल्लू बड़े हैरान हुए।|Those two owls were really surprised.|उभौ दिवान्धौ भृशम् आश्चर्यचकितौ अभवताम्।
एक उल्लू ने दूसरे उल्लू से पूछा कि भाई, इसका कुछ राज समझे ?|One owl asked another, "Have you understood the mystery behind this?"|एको दिवान्ध: अपरं दिवान्धं पृष्टवान् यत् भ्रात:!भवान् अस्य किमपि रहस्यम् अवगतवान् वा ?
दूसरे ने कहा, बिलकुल समझ में आया।|The other said, "I understood it fully."|अपरोऽवदत्, "मया पूर्णत: अवगतम्।"
जीभ की, रस की, स्वाद की इच्छा इतनी प्रबल है कि सामने मृत्यु खड़ी हो तो भी दिखाई नहीं पड़ती और यह भी समझ में आया कि भय मौत से भी बड़ा है।|The desire of the tongue, of the aroma, of the taste is so strong that even if death stood in front would not be visible and it was understood that fear is bigger than death.|जिह्वाया: रसस्य स्वादस्य च इच्छा एतावती प्रबला अस्ति यत् समक्षं मृत्यु: उपस्थितोऽस्ति चेदपि न दृश्यते तथा एतदपि अवगतो यत् भयं मृत्योरपि महत्तरम् अस्ति।
मौत सामने खड़ी है, उससे  भयभीत नहीं है यह चूहा, लेकिन भय से भयभीत है कि कही सांप मुझ पर हमला न कर दे।|The mouse was not afraid of the death that stood in front of it, but the fear of some snake attacking us was greater.|मृत्यु: समीपे उपस्थितोऽस्ति, एष मूषिक: तस्मात् भयभीतो नास्ति ,परन्तु भयात् भीतोऽस्ति यत् कदाचित् सर्प: ममोपरि आक्रमणं न कुर्यात्।
मौत से हम भयभीत नहीं हैं, हम भय से ज्यादा भयभीत है।|We are not afraid of death, we are afraid of fear more.|मृत्यो: वयं भीता: न स्म:,वयं भयात् अतीव भीता: स्म:।
और लोभ के साथ स्वाद का, इन्द्रियों का, जीवन जीने की इच्छा का इतना मजबूत सम्बन्ध है कि मौत चौबीसों घंटा खड़ा है, तो भी हमें दिखाई नहीं देता।|And along with greed, the desire of taste, the senses and life is so strong that even if death stood amongst us, it would not be noticed.|अपिच लोभेन सह स्वादस्य, इन्द्रियाणां च जिजीविषाया: च एतावान् प्रगाढ: सम्बन्धोऽस्ति यत् मृत्यु: अस्माकं समक्षं सदैव उपस्थित: भवति, तथापि अस्माभि: न दृश्यते।
हम अंधे बने हुए है।|We became blind.|इदानीं वयम् अन्धसदृशा: स्म:।
ये संसार के सबसे बड़ी वेदना है। अनुभव हुआ होगा।|The world's greatest pain is this. You felt it right?|संसारस्य सर्वतो बृहत्तमी वेदना इयम्। अनुभूता ननु।
