hindi|english|sanskrit
टीचर- मैं दो वाक्य दूंगा उसमें आपको अंतर बताना है।|Teacher: I will give you two sentences. Tell me the difference between the two|अध्यापकः = वाक्यद्वयं दास्यामि। उभयोः मध्ये अन्तरं वर्णितव्यम्|
पहला वाक्य- उसने बर्तन धोए।|।First sentence - He washed the utensils.|प्रथम-वाक्यम् = सः पात्राणां प्रक्षालनं कृतवान्।
दूसरा वाक्य- उसे बर्तन धोने पड़े।|Second sentence - He had to wash the utensils.|द्वितीय-वाक्यम् = सः पात्राणां प्रक्षालनाय विवशीभूतवान्।
पप्पू- पहले वाक्य में कर्ता अविवाहित। दूसरे में कर्ता विवाहित।|Pappu: In the first sentence, the subject is unmarried. In the second sentence, the subject is married.पप्पुः = प्रथम-वाक्ये कर्ता अविवाहितः। द्वितीय-वाक्ये कर्ता विवाहितः।
से
राम सोमवार से बीमार है।|Rama was sick since monday |रामः सोमवासरतः रुग्णोऽस्ति।
सुबह से वर्षा हो रही है।|It has been raining since morning|प्रातःकालात् वृष्टिः भवति।
राम एक महीने से बीमार है।|Rama's been sick for the past month.|रामः मासं रुग्णोऽस्ति।
मैं जब से यहां आया तब से पन्द्रह वर्ष बीत गए हैं।|It's been 15 years since I came here.|यदारभ्य अहम् अत्र आगतः तदारभ्य पञ्चदशवर्षाणि व्यतीतानि।
राम सबसे अच्छा है।|Rama is the best.|रामः सर्वेषु सर्वोत्कृष्टः अस्ति।
राम श्याम से अच्छा है।|Rama is better than Shyama|रामः शयामतः उत्तमतरः।
मेरे लिए भिक्षा मांगने से मरना अच्छा है।|I'd rather die than beg.|मम कृते भिक्षायाचनतः आत्महत्या वरम्।
मैंने उससे कहा।|He was told by me.|मया स कथितः।
मैं ध्यान से पढ़ता हूं।|I studied carefully.|अहं ध्यानेन अध्ययनं करोमि।
मेरा कुत्ता कुर्सी से कूद गया।|My dog jumped from the chair.|मम सारमेयः आसन्द्याः अकूर्दत।
मेरा मकान आग से नष्ट हो गया।|My house burned down.|मम हर्म्यम् अग्निकाण्डेन नष्टम् अभवत्।
इंजन वाष्प से चलता है।|Engine runs by vapour.|अभियन्त्रः वाष्पैः चलति।
उसने मुझे जाने से रोका।|He stopped me from leaving.|स मां गमनात् न्यवारत्।
मेरे पिताजी ने नौकर को कहा कि बाजार से एक किलो टमाटर खरीदकर ले आओ।|My father ordered his servant to get 1 kilo of tomatoes from the market.|मम तातो भृत्यमादिष्ट्वान् यत् आपणत: एककिलोपरिमितं रक्ताङ्गं क्रीत्वा आनय।
मेरे पिताजी ने नौकर को कहा कि बाजार से एक किलो टमाटर खरीदकर ले आओ।|My father ordered his servant to get 1 kilo of tomatoes from the market.|आपणत: एककिलोपरिमितं वार्तकीं क्रीत्वा आनयेति मम तातो भृत्यमादिष्ट्वान्।
मैंने मन ही मन सोचा कि यह कितना सीधा लड़का है।|I thought to myself, how innocent this boy was.|
अन्तर्मनसि अचिन्तयम् यत्‌ एष कुमारः कियान् आर्जवः।
मैंने मन ही मन सोचा कि यह कितना सीधा लड़का है।|I thought to myself, how innocent this boy was.|एष कुमार: कियान् प्रगुण इत्यहम् अन्तर्मनसि अचिन्तयम्।
उसने मुझसे पूछा कि आजकल मैं क्या-क्या करता हूं और किस प्रकार जीवन बिताता हूं।|He asked me waht I was doing these days and how I was living life.|स मामपृच्छत् यत् अद्यत्वेऽहं किं-किं करोमि केन च प्रकारेण जीवनयापनं करोमि।
उसने मुझसे पूछा कि आजकल मैं क्या-क्या करता हूं और किस प्रकार जीवन बिताता हूं।|He asked me waht I was doing these days and how I was living life.|अद्यत्वेऽहं किं-किं करोमि कथञ्च जीवनं यापयामीति स मामपृच्छत्।
क्या आप जानते हैं कि वह आजकल मेहनत करता है या नहीं?|Do you know whether he is working hard these days or not?|किं भवान् जानाति यत् स अद्यत्वे श्रमं करोति न वा?
मुझे मालुम नहीं है कि वह शादीशुदा है या नहीं?|I do not know whether he is married or not.|मया न ज्ञातं यत् स विवाहित: वा न?
हमें चाहिए कि पंचवर्षीय योजना को सफल बनाएं।|We should make the five-year plan successful.|वयं पंचवर्षीयं योजनां सफलां कुर्याम।
हमलोगों को चाहिए कि गरीबों की मदद करें।|We should help the poor.|वयं निर्धनानां साहाय्यं कुर्याम।
यह सर्वसम्मति से तय हुआ कि वह उम्मीदवार हो।|It was decided unanimously that he be the candidate.|एतत् सर्वसम्मतया निर्णीतोऽभवत् यत् स प्रत्याशी भवतु।
वह बिछावन पर लेटा ही था कि एक सांप निकल पड़ा।|No sooner had he laid down on the cot, than a snake got out.|स शय्यायाम् अशयिष्ट एव, तत्क्षणैव एक: अहि: निर्गत:।
चोर घर में घुसा ही था कि मेरी नींद खुल गई।|No sooner had the thief snuck in, than I woke up.|चौर: हर्म्यम् अविक्षदेव, तत्क्षणैव अहम्  अजागरिषम्।
मेरे मित्रों ने प्रस्ताव किया कि हमलोग छुट्टियों में समाज की सेवा करें।|My friends proposed that we do social service during the holidays.|मम मित्राणि अभिहितवन्त: यत् वयम् अवकाशकालेषु समाजसेवां कुर्याम।
