ध्यान पूर्वक समझिए  सनातन संस्कृति की अद्भुत वास्तुकला और शिल्पकला को।|Understand carefully the amazing architecture and craftsmanship of Sanatan culture.|सनातनसंस्कृते: अद्भुत-वास्तुकलां शिल्पकलां च ध्यानपूर्वकं अवगच्छन्तु।
हजारो वर्ष पुराना यह पूरा मंदिर एक ही चट्टान को काटकर बना है।|This entire temple, which is thousands of years old, is built by cutting a single rock.|सहस्रवर्षपुराणम् एतत् पूर्णमन्दिरं  एकस्यैव शिलाखण्डस्य छेदनेन निर्मितम् अस्ति।
आदमी कितनी भी मेहनत कर ले परन्तु यह बिना मशीनों के संभव नही है।|No matter how hard a man works, it is not possible without machines.|मनुष्यः कियदपि परिश्रमं कुर्यात्, परन्तु यन्त्रैः विना न सम्भवति।
मोहन जोदड़ो हड़प्पा सभ्यता कैसे समाप्त हुई?|How did the Mohenjo Daro Harappan civilization end?|मोहनजोदड़ो हड़प्पा-सभ्यता कथं समाप्ता अभवत्?
आज विज्ञान भी कहता है की ऐसा प्रतीत होता है जैसे यहां कभी परमाणु बम गिरा हो जबकि हमारा वर्तमान विज्ञान परमाणु बम का पहली बार उपयोग दूसरे विश्व युद्ध मे मानता है।|Today science also says that it seems as if an atomic bomb had ever been dropped here, whereas our current science believes that the first use of an atomic bomb was in the Second World War.|अद्यत्वे विज्ञानमपि वदति यत् अत्र परमाणुबम्ब: पातितः इव प्रतीयते, यद्यपि अस्माकं वर्तमानविज्ञानं द्वितीयविश्वयुद्धे प्रथमवारं परमाणुबम्बस्य उपयोगं विचारयति।
इन चट्टानों को काटना ही बड़ी बात नही है बल्कि इस तरह का नक्शा तैयार करना भी बड़ी बात है और उससे भी बड़ी बात है ऐसे निर्माण की कल्पना करना।|Not only cutting these rocks is a big deal but preparing such a map is also a big deal and even bigger is imagining such a construction.|एतेषां शिलाखण्डाणां कर्तनमेव न केवलं महत् कार्यं, अपितु एतादृशस्य मानचित्रस्य सज्जीकरणमपि महत्कार्यमस्ति तथा च तस्मात् अपि महत्त्वपूर्णं यत् एतादृशस्य निर्माणस्य कल्पना अस्ति।
या तो यह माना जा सकता है कि देवताओं के द्वारा इनका निर्माण किया है या हमारे पूर्वज ज्ञान और ज्ञान में हमसे बहुत ज्यादा आगे थे।|Either it can be believed that they were created by the gods or our ancestors were far ahead of us in knowledge and wisdom.|एतानि देवैः निर्मितानि इति वा अस्माकं पूर्वजाः ज्ञानविज्ञाने अस्मभ्यं बहु अग्रे आसन् इति वा कल्पयितुं शक्यते।
पश्चिम की प्राचीन एलियंस थ्योरी भी ज्यादा गलत नही है।|The ancient alien theory of the West is also not very wrong.|पश्चिमस्य प्राचीनः परग्रहसिद्धान्तः अपि बहु दोषो नास्ति।
चाहे वह सनातन इतिहास हो या किसी अन्य किसी पंथ का इतिहास।|Be it Sanatan history or the history of any other sect.|स: सनातन-इतिहासो भवेत् उत् कस्यचिद् अन्यसम्प्रदायस्य इतिहास:।
प्रत्येक का मानना है की अन्य ग्रहों से भी उन्नत संस्कृति के लोग धरती पर आते थे और धरती की संस्कृति को अपना योगदान देने में सहायक थे।|Everyone believes that people with advanced cultures from other planets also came to Earth and were helpful in contributing to the Earth's culture.|अन्यग्रहेभ्यः अपि उन्नतसंस्कृतेः जनाः पृथिव्याम् आगत्य पृथिव्याः संस्कृतिं प्रति स्वयोगदानं दत्तुं सहायकाः आसन् इति सर्वेषां मतम्।
महाबलीपुरम के समुद्र तट पर स्थित यह मंदिर प्राचीन वास्तु कला का उदहारण है।|Located on the beach of Mahabalipuram, this temple is an example of ancient architecture.|महाबलीपुरमस्य समुद्रतटे स्थितम् इदं मन्दिरं प्राचीनवास्तुकलानां उदाहरणम् अस्ति।
मंदिर भगवान शिव और भगवान विष्णु को समर्पित है।|The temple is dedicated to Lord Shiva and Lord Vishnu.|मन्दिरं भगवद्भ्यां शिवाय विष्णवे च समर्पितमस्ति।
इसे स्टोन टेम्पल इसलिए कहते हैं क्योंकि मंदिर वाला भाग ग्रेनाइट पत्थर से बना हुआ है जो देखने में बहुत ही सुंदर दिखता है।|It is called Stone Temple because the temple part is made of granite stone which looks very beautiful.|मन्दिरस्य भागः ग्रेनाइट-शिलायाः निर्मितः अस्ति य: द्रष्टुं अतीव सुन्दर: दृश्यते इति कारणतः अस्य शिलामन्दिरम् इति उच्यते ।
मंदिर के प्रांगण में सात पगोडा की पत्थर की मूर्तियां हैं जिन्हें देखना अद्भुत है।|In the courtyard of the temple there are stone sculptures of seven pagodas which are wonderful to see.|मन्दिरस्य प्राङ्गणे सप्तपगोडानां शिलामूर्तयः सन्ति ये द्रष्टुं अद्भुताः सन्ति।
KBC विजेता सुशील कुमार द्वारा मेरे बरामदा में लगाए गए गौरैया के घोसला में आज गौरैया का शुभ आगमन हो गया।|Today, the auspicious arrival of sparrows took place in the sparrow nest planted by KBC winner Sushil Kumar in my verandah.|अद्य मम आलन्द्यां केबीसी-विजेत्रा सुशीलकुमारेण स्थापिते चटकानीडे चटकाया: शुभागमनं जातम्।
सुशील जी को इस नेक कार्य के लिए बहुत-बहुत आभार।|Many thanks to Sushil ji for this noble work.|अस्य उदात्तकार्यस्य कृते सुशीलाय बहवो धन्यवादा:।
मुझे गोंद से अपनी फटी हुई किताब को चिपकाना है।|I need to stick my torn book with glue.|मया निर्यासेन स्वस्य विदीर्णं पुस्तकं लसयितव्यमस्ति। 
चित्रों को अपने प्रोजेक्ट पर चिपकाने के लिए गोंद का उपयोग किया जाता है।Glue is used to stick pictures to your project.||भवतः परियोजनायां चित्राणि लसयितुं निर्यासस्य उपयोगो भवति।
