Hindi|English|Sanskrit
हे मित्र|O friend|हे सुहृत्
जहाँ ऋणदाता धनी, वैद्य, श्रोत्रिय (वैदिक विद्वान्) और जल से पूर्ण नदी, ये चार वस्तुएँ नहीं हों, वहाँ कभी नहीं रहना चाहिए।|one should never live in a place where a rich lender, a physician, a Vedic scholar and a river full of water are not there.|यत्र एते चत्वारः न भवन्ति तत्र वासः न कार्यः। ऋणं ददाति यः रोगनिवारकः वेदज्ञः जलयुक्ता नदी च।
एक राजा क्रूर और अभिमानी था, परन्तु मंत्री दयालु और हाजिर जवाब था।|A king was cruel and arrogant, but the minister was kind and quick-witted.|एको नृप: क्रूर: दम्भी चासीत्, परन्तु अमात्यो दयार्द्रो वाक्चतुर: चासीत्।
एक दिन राजा ने मंत्री से कहा- चलो! समुद्र की सैर करके आते हैं।|One day the king said to the minister- Come! Come after a trip to the sea.|एकदा नृप: अमात्यमवदत् - "चल!सागरभ्रमणं कृत्वा पुनरागच्छाव।"
दोनों रथ पर सवार हुए और नदी, पहाड़, झरना, सुंदर उद्यानों को पार करते हुए समुद्र के किनारे पहुंच गए।|Both of them boarded the chariot and crossed rivers, mountains, waterfalls and beautiful gardens and reached the seashore.|उभौ रथमारुह्य नदीं च पर्वतं च जलप्रपातं च रम्योद्यानं च लङ्घयित्वा समुद्रतीरं प्राप्तवन्तौ।
राजा ने समुद्र के किनारे घंटों चहलकदमी करके उठती हुई लहरों का आनंद लिया।|The king walked for hours on the seashore enjoying the rising waves.|नृप: सागरतटे घण्टान् भ्रमणं कुर्वन् उत्तालतरङ्गान् रमयितवान्।
तभी उसे प्यास लगी और उसने अंजुरी भर कर समुद्र जल मुंह में रखा।|Then he felt thirsty and filled the jar with sea water and placed it in his mouth.|तदैव तेन पिपासा अनुभूता तथा स अञ्जुरीपूरेण समुद्रोदकं निक्षिप्तवान्।
लेकिन थू थू करते हुए जल थुंक दिया।|But spat out the water while spitting.|परन्तु थू-थू इति शब्दं कुर्वन् जलं ष्ठ्यूतवान्।
मंत्री से बोला- 'मंत्री! जल बहुत खारा है। चलिए, महल चलते हैं ।मुझे बहुत प्यास लगी है।'|Said to the minister- 'Minister! The water is very salty. Come on, let's go to the palace. I am very thirsty.'|स: अमात्यमवदत् - "अमात्य! उदकम् अतीव लवणयुक्तमस्ति। चल!प्रासादम् गच्छेताम्। मया अतीव पिपासा अनुभूयते।"
वापसी में एक छोटी, किंतु निर्मल और कलकल बहती हुई पहाड़ी नदी देखकर राजा ने रथ रुकवा कर पानी पिया।|On the way back, seeing a small but clean and gurgling mountain river, the king stopped the chariot and drank water.| पुनरागमने लघु, किन्तु निर्मलं कलनादं कुर्वतीं च प्रवहन्तीं पर्वतनदीं दृष्ट्वा राजा रथं निवारर्य्य जलं पीतवान्।
