Hini|English|Sanskrit
जो बुद्धिमान्|The wise man,|यः प्राज्ञः
अपने तथा शत्रु के सार-असार,|who knows his own and his enemy's essence,|आत्मनः द्विषतः च सारासारं 
बल तथा पराक्रमको जानकर उसके अनुसार बर्ताव करता है,|strength and bravery and behaves accordingly,|बलं वीर्यं जानन् विचरति, 
उसकी कभी पराजय नहीं होती है।|is never defeated.|सः पराभवं न याति।
खंजन एक मध्यम कद का बहुत ही चंचल पक्षी हे।|Khanjan is a very playful bird of medium height.|खञ्जन: एको मध्यमाकाय: अतीव चञ्चल: पक्षी अस्ति।
इस पक्षी का पूरा शरीर लम्बा और पतला होता है।|The entire body of this bird is long and thin.|अस्य पक्षिणः पूर्णं शरीरम् उन्नतं कृशं च भवति।
ये पक्षी अक्सर आपको पानी के किनारे मिल जाते हैं यानि ये सब पक्षियां झीलों, तालाबों, नदियाँ के किनारे घूमता रहता है।|You often find these birds on the banks of water, that is, all these birds roam around on the banks of lakes, ponds and rivers.|एते पक्षिण: प्रायशः भवद्भि जलतटेषु लभ्यन्ते अर्थात् एते सर्वे खगाः कासारतडागनदीतीरेषु भ्रमन्ति। 
प्राचीन कवियों ने नेत्रों की उपमा खंजन पक्षी से दिया हे क्योंकि इस पक्षी के नेत्र हमेशा चंचल रहते है।|Ancient poets have compared the eyes to the Khanjan bird because the eyes of this bird are always playful.|प्राचीनकविभिः नेत्रयोः तुलना खञ्जनपक्षिणा सह कृता यतः अस्य पक्षिणः नेत्रे सर्वदा चञ्चले भवत:। 
इस पक्षी की सबसे बड़ी विशेषता यह है की यह पक्षी अन्य पक्षी की तरह कूदकर नहीं बल्कि दौड़कर चलता है।|The biggest feature of this bird is that it does not move by jumping like other birds but by running.|अस्य पक्षिणः महत्तमं वैशिष्ट्यम् एतदस्ति यत् एष: पक्षी अन्ये पक्षिण: इव कूर्दनेन न अपितु धावनेन चलति।
मादा खंजन पक्षी करीब चार से सात अंडे देती हे जो चौड़े एवं अंडाकार होते हैं और नर मादा साथ मिलकर अपने बच्चो का पालन पोषण करते हैं।|The female Khanjan bird lays about four to seven eggs which are wide and oval and the male and female together nurture their children.|मादा खञ्जनपक्षी अनुमानत: चतुर्भ्य: सप्तानि यावत् अण्डानि सवति यानि विस्तृताणि वर्तुलाकाराणि च भवन्ति एवञ्च नर: मादा च परस्परं मिलित्वा स्वसन्तती: पोषयत:।
इस पक्षी का जीवनकाल करीब पांच से आठ साल तक होता है।|The lifespan of this bird is about five to eight years.|अस्य पक्षिण: आयु: अनुमानतः पञ्चेभ्य: अष्टवर्षपर्यन्तं भवति।
प्राकृतिक रूप से चींटों से छुटकारा पाने के लिए टेबल सॉल्ट सबसे अच्छे और सस्ते तरीकों में से एक है।|Table salt is one of the best and cheapest ways to get rid of ants naturally.|प्राकृतिकरूपेण अल्पमूल्यकस्य साधारणलवणस्य प्रयोग: पिपीलेभ्यो निवृत्त्यर्थं सर्वोत्तमेषु उपायेषु अन्यतमोऽस्ति।
जमीन पर नमक की एक पंक्ति चींटों को रोकने के लिए बनाई जा सकती है।|A line of salt can be made on the ground to deter ants.|भूमौ लवणस्य एकस्या: रेखाया: निर्माणं पिपीलानां निवारणाय कर्तुं शक्यते।
पानी में नमक को घोलकर बनाया गया स्प्रे भी चींटों को दूर भगाने में मदद करता है।|Spray made by dissolving salt in water also helps in driving away ants.|जले लवणं सम्मिश्र्य निर्मितं सेचनमपि पिपीलानां दूरीकरणे सहायकं भवति।
योगी जल में पैदल चलते हैं।|Yogis walk on water on their feet.|योगिनः जलोपरि पदेन चलन्ति।
रजनीकान्त भूमि पर तैरता है मत्स्यः जैसा।|Rajnikant swims on the ground like a fish.|रजनीकान्तः भूमौ तरति मत्स्यः इव।
दीनों के बन्धु,|Friends of the poor,|दरिद्राणां बन्धुः
सकल मानवों के हितैषी,|Well wisher of all human beings,|निखिल-मनुजानां प्रियकरः
ज्ञान और कर्मयोग में समान दक्ष,|Equally adept in knowledge and action,|समः ज्ञाने कर्मणि
गुरुचरणों में अविचल भक्तियुक्त,|With unwavering devotion at the feet of Guru,|अविचलित-भक्त्यां गुरुपदे
शत्रु और मित्र के प्रति समदर्शी,|Compassionate towards enemy and friend,|समः शत्रौ मित्रे
दीप्त सूर्य के समान अतुल्य महिमावान,|Incomparably glorious like the bright sun,|अप्रतिम-महिम-उद्दिप्ततपनः
विवेकानन्द हमारे हृदय में सदा विराजमान हो|May Vivekananda always reside in our hearts.|विवेकानन्दः मे हृदय-गगने भातु सततम्
