मुझे दया आ गई।|I felt pity|अहं करुणार्द्रोऽभूवम्।
अब मुझे सब कुछ आ गया।|Now I understood everything.|इदानीं मया सर्वं ज्ञातम्।
उसे सारी बातें याद आ गई।|He remembered everything.|तेन सर्वं वृतान्तं स्मृतम्।
बहुत से वीर खेत आ गए।|Many soldiers were killed on the battlefield|बहव: सैनिका: रणभूमौ हता:।
मेरे दोस्त समय पर मेरे काम आए।|My friends were of help when needed|मम मित्राणि समये सहायका: अभवन्। 
मेरे दोस्त समय पर मेरे काम आए।|My friends helped me when I needed it.|मम मित्राणि आवश्यकतयां सत्यां साहाय्यं कृतवन्ति।
ब्लेड किस काम में आता है?|What is a blade used for?|क्षुरः कस्मिन् कार्ये प्रयुक्तः भवति?
मुझे उसकी हालत पर रोना आता है।||तस्य दुर्दशां दृष्ट्वा अहं कष्टम् अनुभवामि।
क्या तुम्हें नींद नहीं आ रही है?|Are you not feeling sleepy?|किं त्वया निद्रा नानुभूयते?
क्या तुम्हें घड़ी देखने आता है?|Do you know how to tell time?|किं त्वं घटिकायां समयदर्शनं जानासि?
मैं उसकी चालों में आ गया।|I fell for his trick.|अहं तस्य कपटव्यवहारे संश्लिष्टवान्।
मैं उसकी चालों में आ गया।|I fell for his trick.|स मां वञ्चितवान्।
मैं उसकी चालों में आ गया।|I fell for his trick.|तेन अहं वञ्चित:।
