
जब जंगल जलते हैं तो वायु अग्नि का मित्र बन जाता है।|When the forests burn, the wind becomes fire's friend.|(यदा) दहतः वनानि ( भवन्ति, तदा) मारुत् वह्नेः सखा भवति।
लेकिन वही वायु जो कि मित्र था, दीपक (लौ) के विनाश का एक कारण बनता है।|(But, the wind, the friend ) (becomes the cause) for the destruction a lamp (flame).|सः एव दीप-नाशाय (कारणम् भवति)।
दुर्बल (व्यक्ति) को किसकी मित्रता उपलब्ध है?|Whose friendship to (in) a weak (person is available)?|कृशे सौहृदम् कस्य अस्ति।
कर्मकाण्डी ब्राह्मण के लिए कुछ आवश्यक नियम।|Some essential rules for a ritualistic Brahmin.|कर्मकाण्डिने ब्राह्मणाय कश्चिद् आवश्यकनियमाः।
कृपया जप/पाठ के समय बातचीत न करें।|Please do not talk while chanting/reciting.|कृपया जपकाले/पाठकाले वार्त्तालापं न कुर्यात्।
कृपया जप/पाठ के समय मोबाइल आफ या साइलेंट रखें।|Please keep your mobile off or silent during chanting/recitation.|कृपया जपकाले/पाठकाले दूरवाणीं पिदधातु मौनीकरोतु वा।
कृपया स्वच्छ वस्त्र धारण करें।|Please wear clean clothes.|कृपया स्वच्छवस्त्रस्य धारणं कुर्यात्।
कृपया अनुष्ठान में कटे फटे, पुराने , जले  वस्त्र न धारण करें।अनुष्ठान अनुरूप ही वस्त्र धारण करें।|Please do not wear torn, old or burnt clothes during the ritual. Wear clothes as per the ritual.|कृपया अनुष्ठाने जीर्णं पुरातनं ज्वलितं वा वस्त्रधारणं न कुर्यात्। अनुष्ठानानुरूपमेव वस्त्रधारणं कुर्यात्।
भगवत् नाम लिखे हुए या भगवान के चित्र बने हुए वस्त्र आदि को धारण न करे। यह देव अपराध है।अंगोछा या अंगरखा के रूप में भी उपयोग नहीं करना चाहिए।|Do not wear clothes etc. with the name of God written on them or with God's picture on them. This is a crime against God. It should not be used even as a towel or tunic.|भगवन्नाम लिखितम् उत भगवच्चित्रियुतं वस्त्रं न धारयेत्। एष देवापराधोऽस्ति। उपवस्त्रस्य अंगवस्त्रिकाया: वा रूपेणापि एतद् न धारयेत्।
एक दिन पहले धारण किए हुए वस्त्र अगले दिन न धारण करें।यदि पहनना भी पड़े, तो धोकर ही पहनना चाहिए।|Do not wear clothes worn the day before the next day. Even if you have to wear them, they should be worn only after washing.|एकस्माद्दिनात् पूर्वं धारितवस्त्राणि परेद्युः न धारयेत्। यदि धारणम् अत्यावश्यकं तर्हि प्रक्षाल्य हि।
पूजा के समय वस्त्र पीला या उजला जो अन्य व्यक्ति को अच्छे लगें वैसा पहनना चाहिए।अनुष्ठान में सिले हुए वस्त्र आदि धारण करने से बचना चाहिए।|At the time of puja, one should wear yellow or white clothes which are acceptable to other people. One should avoid wearing stitched clothes etc. during rituals.|पूजायाः समये पीतवस्त्रम् अथवा श्वेतवस्त्रं धरेत् यद् अन्येभ्यः रोचते। अनुष्ठानेषु सः स्यूतवस्त्रादिकं न धरेत्।
धोती को धोती की तरह ही धारण कर ब्राह्मण एवं यजमान को पूजन अनुष्ठान करना चाहिए ।कच्छ होना अत्यावश्यक है। लुंगी की तरह लपेटकर पूजन न करें।|The Brahmin and the host should perform the puja rituals by wearing the dhoti like a dhoti. It is essential to have a kachcha. Do not perform the puja by wrapping it like a lungi.|ब्राह्मणः तथा यजमानः धौतवस्त्रं तदनुसारमेव परिधीय पूजानुष्ठानादि कुर्याताम्। चित्रवेष्टिरिव(लुंगी इति वस्त्रमिव) परिधीय नैव कदाचित्। कटिवस्त्रम् अत्यावश्यकमस्ति।
ललाट तिलक रहित न हो। शिखा अवश्य होना चाहिए।बिना सन्ध्योपासना और गायत्री मंत्र जप किए अनुष्ठान में सम्मिलित न हों।भोजन सात्विक होना चाहिए और संभव हो तो भोजन अपने घर का बनाया हुआ होना चाहिए।भोजन में भक्ष्य अभक्ष्य का ध्यान अवश्य रखना चाहिए।|The forehead should not be without tilak. Shikha must be there. Do not participate in the rituals without Sandhyopasana and chanting Gayatri Mantra. Food should be sattvik and if possible, food should be home-made. Attention must be paid to what is edible and non-edible.|ललाटे तिलकं तथा मस्तके शिखा अवश्यं भवेत्। सन्ध्योपसनामंत्रस्य गायत्रीमंत्रस्य जापं विना अनुष्ठाने सम्मिलितः न भवेत्। भोजनं सात्विकं भवेत् तथा यथासंभवं स्वगृहे निर्मितं भवेत्। भोजने भक्ष्याभक्ष्यस्य ध्यानम् अवश्यं कुर्यात्।
