Hindi|English|Sanskrit
इसे छूओ।|touch it.|स्पृशेत्
अश्वलायन|Ashvalaayana|अश्वलायनः
जब मनुष्य मलत्याग कर ले तो|When a person defecates,|पुरीषोत्सर्जने ततः
बारह बार कुल्ला करना चाहिए।|should gargle twelve times.|कुर्यात् द्वादश गण्डूषान् 
मूत्र त्याग करने के बाद चार बार|4 times after urination|मूत्रोत्सर्गे च चतुरः
भोजन के बाद सोलह बार।|16 times after having a meal|भोजनान्ते तु षोडश।
प्रयोगपारिजात में|In Prayogaparijata|प्रयोगपारिजाते
आगे सभी देवता और पूर्वज दाएं ओर|All the Gods in front and ancestors on the right|पुरतः सर्वदेवाः च दक्षिणे पितरः तथा।
ऋषि पीछे सभी बाएं ओर कुल्ला करते हैं।|Sages in the back and everybody gargles on the left|ऋषयः पृष्ठतः सर्वे वामे गण्डूषम् आचरेत्।
कच्छविचार|kacchavicaara|कच्छविचारः
सङ्ग्रह में|in the collection|सङ्ग्रहे
कच्छ के तीन प्राकारों के उदाहरण दिये गयें हैं।|On the left, back and on the navel three types of kaccha are named|वामे पृष्ठे तथा नाभौ कच्छत्रयम् उदाहृतम्।
कच्छ के तीन प्राकारों से ब्राह्मण पता चलता है जो शुद्ध हो।|By three types of girdle can a brahmana be recognised who is pure.|त्रिभिः कच्छैः परिज्ञेयः विप्रः यः सः शुचिः भवेत्।
ग्रन्थ के बीच|in the middle of the book|ग्रन्थान्तरे
पेहले कच्छ|First the kaccha|आदौ कच्छः
उसके बाद नीवी और नाभि के बीच दो कपडे|After that the Nivi and two garments in the middle of the navel|ततः नीवी नाभि-मध्ये च वाससी
नीवी दाहिने ओर रखना चाहिये|The nivi should be placed on the right|नीवी दक्षिणतः स्थाप्या
ये हैं तीन कच्छ के लक्षण|This is the characteristic of the three kacchas|एतत् त्रि-कच्छ-लक्षणम्
अगर कोई कच्छ पहना हुआ ब्राह्मण पेशाब कर दे|if a brahmin urinates while wearing the kaccha|कच्छेन सहितः विप्रः मूत्रोसर्गं करोति चेत्
अज्ञान से या जान बूछ कर पाद-कृच्छ्र से शुद्ध हो जाता है|by ignorance or deliberately he can be purified by paadakricchra|अज्ञानात् ज्ञानतः वा अपि पाद-कृच्छ्रेण शुद्ध्यति
मूत्र त्याग करने के बाद गुदा को पानी से धोएं|Was the anus with water after urination|गुह्यं प्रक्षाल्य सलिलैः मूत्रोत्सर्गात् अनन्तरम्
ब्राह्मण को तीन बार कुल्ला करके शुद्ध हो सकता है|The Brahmin can be purified by gargling three times|गण्डूष-त्रितयम् कृत्वा तेन शुद्धः भवेत् द्विजः
विना कच्छ का ब्राह्मण धरती पर चल सकता है|The brahmin without kaccha may walk on the earth|मुक्त-कच्छः तु यः विप्रः धरण्याम् पादतः चरेत्
हर पद पर मद्य-सेवन का कोई प्रायश्चित नहीं है|There is no atonement for drinking alcohol at every step|पदे पदे सुरापानं प्रायश्चित्तं न विद्यते
मौन-धारण|Observing silence|मौन-धारणम्
उच्चारण में और संभोग में, स्राव में और दाँत साफ़ करने में श्राद्ध के समय और भोजन के समय इन छह कार्यों में मौन रहना चाहिए|In pronunciation and in sexual intercourse, in urination, while brushing teeth, while observing Shradda and while eating, while engaged in these six activities one must observe silence.|उच्चारे मैथुने च एव प्रस्रावे दन्त-धावने श्राद्धे भोजनकाले च षट्सु मौनं समाचरेत्
मक्खियाँ घाव चाहती हैं।|Flies desire wounds.|मक्षिकाः व्रणम् इच्छन्ति। 
राजा लोग पैसा चाहते हैं।|Kings want money.|पार्थिवाः धनम् इच्छन्ति।
नीच लोग कलह चाहते हैं।|Low people look for quarrel.|नीचाः कलहम् इच्छन्ति।
कुलीन लोग सन्धि चाहते हैं।|Noble people like to have peace.|साधवः सन्धिम् इच्छन्ति॥
यह कच्चा आम है।|This is an unripe mango.|एतत् अपक्वम् आम्रम् अस्ति।
यह कच्चा पानी है।|This is not fresh water.|एतत् अक्वथितं जलम् अस्ति।
यह कच्चा मकान है।|This is a mud house.|एष: मृण्मयं गृहम् अस्ति।
यह कच्ची सड़क है।|This is an unconstructed road.|एष: मृण्मय: मार्ग: अस्ति।
यह कच्ची रोटी है।|This is an uncooked chapathi.|एषा अपक्वा रोटिका अस्ति।
यह कच्ची भात है।|This is uncooked rice.|एतत् अपक्वम् ओदनम् अस्ति।
यह कच्ची उम्र है।|This is a tender age.|एष: किशोरवय: अस्ति।
वह कच्चा आदमी है।|He is an inexperienced man.|स: अनुभवहीन: पुरुष: अस्ति।
ये कच्चे माल हैं।|These are raw materials.|एतानि असिद्धानि वस्तूनि अस्ति।
मित्रता ऐसी हो जैसे हाथ और आंखे क्योंकि हाथ को चोट लगने पर आंखों में पानी आता हैं और आंखों में पानी आये तो उसे पोंछने को हाथ ही आगे आता है।|Friendship should be like hands and eyes because when the hand gets hurt, the eyes water and when the eyes water, only the hand comes forward to wipe them.|मैत्री हस्तचक्षूंषि इव भवेत्, यतः हस्तस्य क्षतिः भवति चेत् चक्षुषो: जलं भवति तथा च यदा जलं चक्षुषो: आगच्छति तदा केवलं हस्त: एव तत् मार्जयितुं अग्रे आगच्छति।
