तत्र बालाः क्रीडन्ति।|There, the children play.|वहाँ बच्चे खेलते हैं।
गुरुः शिष्यान् पाठयति।|The Guru teaches the pupils.|गुरु शिष्यों को पढ़ाते हैं।
तस्मिन् गृहे जनाः न गच्छन्ति।|In that house, people do not go.|उस घर में लोग नहीं जाते।
तस्य नाम सूर्यदेवः अस्ति।|His name is Suryadev.|उसका नाम सूर्यदेव है।
सदा सत्यं वक्तव्यम्।|Truth should always be spoken.|हमेशा सत्य बोलना चाहिए।
अर्जुनः शत्रून् हन्ति।|Arjuna kills enemies.|अर्जुन शत्रुओं को मारता है।
शिवः हिमालये वसति।|Shiva resides in the Himalayas.|शिव हिमालय में निवास करते हैं।
मुनयः तपः कुर्वन्ति।|The sages perform penance.|मुनिगण तपस्या करते हैं।
गजः ईक्षुं भक्षयति।|The elephant eats sugarcane.|हाथी गन्ना खाता है।
पितामहः मातामहेन मिलति।|The paternal grandfather meets the maternal grandfather.|दादा जी नाना जी से मिलते हैं।
अण्डं चतुर्विंशति-तत्त्व-जातम्|The egg is composed of twenty-four elements,|अंडा चौबीस तत्वों से बना है और
तस्मिन् भवान् एषः विरञ्चिनामा।| and in it you are there known as Viranchi.| उसमें आप विरंचि नाम से विख्यात हैं।
जगत्-शरण्यः|Thou who art the shelter of the world|आप ही जगत् के आश्रय हैं,
जगत्-उद्वमन्|bringing up the world,|जगत् को बाहर करते हैं,
स्वयम् पितामहः त्वम्|Thou Thyself art the grandfather,|आप ही पितामह हैं,
परिगीयसे बुधैः|Thou art glorified by the wise.|आप बुद्धिमानों द्वारा महिमामंडित हैं।
वृक्षाः अन्यस्य छायां कुर्वन्ति|Trees provide shade for others|पेड़ दूसरों को छाया देते हैं
परन्तु स्वयम् आतपे तिष्ठन्ति।|but stay in the heat themselves.|लेकिन स्वयं गर्मी में रहते हैं।
फलानि अपि परार्थाय यच्छन्ति नैव स्वार्थाय।|Even the fruits are given for the benefit of others and not for their own benefit.|फल भी दूसरों के हित के लिए देते हैं न किअपने लाभ के लिये।
