Sanskrit|English|Hindi
रजनीकान्तस्य नेत्रं तस्य मृत्योपरान्तं नासासंस्था याचते।|NASA is asking for Rajinikanth's eye after his death.
तेन नेत्रेण अत्याधुनिकं दूरदर्शनोपकरणम् निर्मीयते।|With that eye, a state-of-the-art telescope would be built.
स्वामी स्वहस्तेन अश्वं खादयति।|The Boss feeds the horse with his own hand.|स्वामी अपने हाथ से घोड़े को खिलाता है।
मन्दिरे गौः आगच्छत्।|The cow enters the temple.|मंदिर में गाय आती है।
सा वक्तुं बिभेति।|She fears to speak.|वह बोलने से डरती है।
कियत् प्रेम करोषि त्वम्।|How much do you love?|तुम कितना प्यार करते हो?
सर्वान् परित्यज्य त्वाम् इच्छामि।|Having abandoned everyone, I desire you.|सबको छोड़कर तुमको चाहता हूँ।
कविः काव्यं लिलिखिषति।|The poet wants to write poetry.|कवि कविता लिखना चाहता है।
सेवकः अन्नं पचति।|The servant cooks food.|नौकर खाना पकाता है।
मयि अपि हृदयः अस्ति।|I also have a heart.|मेरे पास भी हृदय है।
सतां रक्षति भगवान्।|God protects the virtuous.|भगवान नेकजनों की रक्षा करते हैं।
अहं कति वारं वदानि।|How many times do I tell you?|मैं तुम्हें कितनी बार कहूँ।
सरस्वति नमः तुभ्यं नमो नमः।|O Saraswatī, salutations for you.|
सर्वदेवि शान्तरूपे शशिधरे सर्वयोगे नमो नमः।|O goddess of all, serene, the bearer of moon, the yogas of all, salutations and salutations.
कृतं कर्म शुभाशुभम् अवश्यम् अनुभोक्तव्यं (भवति)।|One must experience the fruits of his good and bad actions.|अपने अच्छे और बुरे कर्मों का फल अवश्य ही भोगना चाहिए।
अभुक्तं कर्म कल्प-कोटि-शतैः अपि न क्षीयते।|Unyielded karmas does not diminish even after billions of ages.|अरबों युगों के बाद भी नहीं भोगे गये कर्म कर्म क्षीण नहीं होते।
सा शारदा प्रसन्ना राजति मम मानसे नित्यम्।|That gracious Sharada always resides in my mind.|वह प्रसन्न शारदा सदा मेरे मन में निवास करती है।
या शारदा अब्जवदना जननी कीर्त्या हि सर्वलोकानाम्।|The lotus-faced śāradā who, due to her glory, is the mother of all human beings|वह कमल-मुखी शारदा (देवी) जो अपने कीर्ती के कारण सभी की माता है।
