Sanskrit|English|Hindi
द्वयोः मात्रोः अपत्यं पुमान् द्वैमातुरः|one with 2 mothers|
षण्णां मातॄणामपत्यं पुमान् षाण्मातुरः|one with 6 mothers|
पञ्च गावः धनं यस्य सः पञ्चगवधनः|one whose wealth is 5 cows|
सर्वरात्रः|whole night|
पुण्या रात्रिः पुण्यरात्रः|holy night|
एकरात्रः|1 night|
द्वयोः रात्र्योः समाहारः द्विरात्रम्|collection of 2 nights|
अतिक्रान्तः रात्रिमतिरात्रः|that which exceeded the night|
अतिशयितः सखा अतिसखा|excellent friend|
इन्द्रस्य सखा इन्द्रसखः|indra's friend|
सखायमतिक्रान्तः = अतिसखः|exceeded the friend|
पञ्चानां गवां समाहारः = पञ्चगवम्|group of 5 cows|
दशानां नावाम् समाहार: = दशनावम्|group of 10 boats|
त्रिभुवनम्|group of 3 worlds|
त्रिलोकी|group of 3 worlds|
सख्युः पन्थाः सखिपथः|road of a friend|
चतुर्युगम्|collection of 4 yugas|
सप्तदिनम्|collection of 7 days|
त्रिपथम्|collection of 3 roads|
द्वयह्नजातः|born two days ago|
त्रिफला|collection of 3 fruits|
