Hindi|English|Sanskrit
सन्तों ने मिलकर भाजपा का प्रचार किया।|The Saints collectively campaigned for the BJP.|सन्तजनैः मिलित्वा भाजपा-दलस्य प्रचारः कृतः।
केन्द्र में भाजपा की सरकार बन गई।|The BJP government got formed in the center.|केन्द्रे भाजपा-दलस्य शासनं स्थापितम्।
उत्तर प्रदेश आदि में भाजपा की सरकार बन गई।|The BJP government got formed in Uttar Pradesh, etc|उत्तरप्रदेशादिषु अपि भाजपा-दलस्य शासनं स्थापितम्।
अब रविशंकर जी और रामदेव बाबा दोनों को सरकार ने मौनी बना दिया या नहीं?|Now, has the government silenced both Ravi Shankara and Rāmadeva Bābā or not?|इदानीं रविशङ्कर-रामदेव-महोदयौ शासनेन मौनिनौ कारितौ खलु।
ध्यान गया आपका?|Did you notice?|गृहीतं वा भवद्भिः।
हम जो कहते हैं, सरकार-प्रधानमन्त्री इत्यादि, उसका अनुगमन करते हैं|वयं यद् वदामः शासनं प्रधानमन्त्री च तस्य अनुगमनं कुरुतः।|Whatever we say, the government, the Prime Minister, etc., follow that.
न करना हो तो न करें।|न करणीयं चेदपि मा कुर्वन्तु।|If they don't want to, they don't have to.
सरकार के पास हमारा कोई अनुरोध नहीं।|शासनस्य कृते अस्माकं न कोऽपि अनुरोधः।|The government has no requests from us.
सरकार के पास कोई निवेदन नहीं।|शासनस्य कृते न कापि विज्ञप्तिः।|The Government has no request from us.
न कोई चुनौती।|न किमपि आव्हानम्।|Nor any challenge.
हमें जो करना होता है करते हैं।|यत् कर्तव्यं तत् कुर्मः।|We do what we have to do.
धर्म के मार्ग पर चलते हैं।|धर्ममार्गेण गच्छामः।|We walk on the path of Dharma.
शासनतन्त्र चाहे तो अनुगमन करे न चाहे तो अनुगमन न करे।|शासनम् इच्छति चेत् अस्मदनुगमनं करोतु नेच्छति चेत् मा करोतु।|If the government wants, it may follow; if it does not want, it may not follow.
हम शासनतन्त्र के भरोसे नहीं हैं।|वयं शासनतन्त्रालम्बनेन न भवामः।|We are not dependent on the government.
