Sanskrit|English|Hindi
किं निमित्तम्|for what purpose|
केन निमित्तेन|for what purpose|
कस्मै निमित्ताय|for what purpose|
कस्मात् निमित्तात्|for what purpose|
कस्य निमित्तेन|for what purpose|
कस्मिन् निमित्ते|for what purpose|
किं कारणम्|for what purpose|
केन कारणेन|for what purpose|
कस्मै कारणाय|for what purpose|
कस्मात् कारणात्|for what purpose|
कस्य कारणेन|for what purpose|
कस्मिन् कारणे|for what purpose|
किं प्रयोजनम्|for what purpose|
केन प्रयोजनेन|for what purpose|
कस्मै प्रयोजनाय|for what purpose|
कस्मात् प्रयोजनात्|for what purpose|
कस्य प्रयोजनेन|for what purpose|
कस्मिन् प्रयोजने|for what purpose|
किं हेतुं|for what purpose|
केन हेतुना|for what purpose|
कस्मै हेतवे|for what purpose|
कस्मात् हेतोः|for what purpose|
कस्य हेतुना|for what purpose|
कस्मिन् हेतौ|for what purpose|
हा देवदत्तम्|woe to devadatta|
बुभुक्षितम् न प्रतिभाति किंचित्|to a hungry person nothing occurs to his mind|
ग्रामं समया|near the village|
ग्रामं निकषा|near the village|
सर्वतः ग्रामम्|on all sides of the village|
उभयतो ग्रामम्|on both sides of the village|
उपर्युपरि ग्रामम्|just over the village|
अध्यधि ग्रामम्|just below the village|
अधोधः ग्रामम्|just below the village|
अभितः ग्रामम्|round the village|
यवाग्वा अग्निहोत्रं जुहोति|he satisfies or pleases Agni with barley-powder|
यवागुम् अग्निहोत्रं जुहोति|he throws barley-powder into the fire as oblation|
अन्तरेण पुरुषकारं न किञ्चित् लभ्यते|nothing can be gained without exertion|
अन्तरेण त्वां च मां च कमण्डलुः|the bowl is between thee and me|
अन्तरा त्वां च मां च कमण्डलुः|the bowl is between thee and me|
कः अन्यः त्वां मां तरेण शक्तः प्रतिकर्तुम्|who else but thee is able to retaliate|
मासम् अधीते|he reads for a month|
मासं कल्याणी|prosperous during the month|
संवत्सरं पुष्पाः|flowers during the year continually|
क्रोशं कुटिला नदी|the river winding for one kos without any break|
क्रोशं पर्वतः|the hill through one full kos|
सभा वैश्रवणी राजन् शतयोजनमायता|O king the hall of Visravana is 100 yojanas in length|
मासेन अनुवाकः अधीतः|he learnt the Anuvaka in a month|
क्रोशेन अनुवाकः अधीतः|he learnt the Anuvaka by going over a kos|
मासम् अधीतः अनुवाकः|learnt for a month, but not yet completed, the Anuvaka|
संवत्सरेण अनुवाकः अधीतः|Anuvaka was read in the whole year|
शाकल्यस्य संहिताम् अनुप्रावर्षत्|It rained on (hearing) the reading of the Veda by Sakalya.|
आगस्त्यम् अन्वसिंचत् प्रजाः|On (hearing) Agatsya's work the people poured water|
अन्तरा तक्षशिलां च पाटलिपुत्रं स्रुघ्नस्य प्राकारः|Between Takshashila and Pataliputra there likes a city called srughna as if it a fence|
उपखार्याम् द्रोणः|A Drona is more than a Khari|
अधिब्रह्मदत्ते पंचालाः|Brahmadatta is the lord of Panchalas.|
अप/आ/परि पाटलिपुत्रात् आवृष्टः देवः|It rained off or upto or with the exclusion of, Pataliputra.|
अभिमन्युः अर्जुनतः प्रति|Abhimanyu is the representative of Arjuna|
माषान् अस्मै तिलेभ्यः प्रतियच्छति|he exchanges mashas for this sesamum|
मूत्राय कल्पते यवागूः|the barley gruel tends to produce urine|
गोभ्यः हितम्|good for cows|
न त्वां शुने मन्ये|I do not consider you as a dog|
न त्वां शृगालं मन्ये|I do not consider you even as a jackal|
न त्वा तृणं तृणाय वा मन्ये|I do not consider you worth a straw|
न त्वा बुसं बुसाय वा मन्ये|I do not consider you worth a chaff|
न त्वा तृणं चिन्तयामि|I do not consider you a straw|
रूप्यकैः क्रीणामि|i buy with rupees|
विषमेण धावति|he runs ahead or behind|
पादेन खंजः|lame of foot|
जटाभिः तापसः|he is an ascetic by (the fact of his having) matted hair|
अपि भवान् कमण्डलुना छात्रम् अद्राक्षीत्|your honor might see the student by the fact of his having a kamandalu|
छात्रेण उपाध्यायम्|a teacher by the fact of having students|
