Hindi|English|Sanskrit
महाराज! इस जगत् का मूल कारण धर्म ही है।|O King, This world is based on dharma.|धर्म-मूलम् जगत् राजन्।
धर्म से बढकर दूसरी कोई वस्तु नही है।|Nothing else is more important than Dharma|न अन्यत् धर्मात् विशिष्यते।
धर्म का अनुष्ठान महान् धन से ही होता है ।|The observance of this Dharma is possible by great wealth.|धर्मः च अर्थेन महता शक्यः निषेवितुम्।
मौन रहना मूर्ख का बल है।|Silence is the strength of the fool.|बलम् मूर्खस्य मौनत्वम्।|
शत्रु और क्रुद्ध महाविषधर सर्प के साथ भले ही रहें।|One may live with an enemy or an angry poisonous snake.|शत्रुणा सह क्रुधमहाविषधरेण सर्पेण सह वा वसेत्।
परंतु ऐसे मनुष्य के साथ कभी न, जो ऊपर से तो मित्र कहलाता है, लेकिन भीतर-भीतर शत्रु का हितसाधक हो।|But not with a so-called friend who serves your enemy|न तू मित्र-प्रवादेन संवसेत् शत्रु-सेविना।
रात्रि में सुख के लिये वैसा काम दिन में करना चाहिये|Do that during the day that will enable you to be happy in the night|दिवसेन एव तत् कुर्यात् येन रात्रौ सुखम् वसेत्
शान्ति की प्राप्ति के लिये जीवन पर्यन्त सत्कर्म करना आवश्यक है|Do that in your lifetime which will give you a happy death|यावत् जीवम् च तत् कुर्यात् येन प्रेत्य सुखम् वसेत्
यात्रा में ज्ञान सच्चा मित्र|Knowledge is your friend in travel|विद्या मित्रम् प्रवासेषु
घर में पत्नी सच्ची मित्र|Wife is your friend at home|भार्या मित्रम् गृहेषु च
रोग में औषधी मित्र|Medicine is a friend of the sick|व्याधितस्य औषधम् मित्रम्
मृत्यु के समय धर्म मनुष्य का मित्र|Dharma is the friend of the dead|धर्मः मित्रम् मृतस्य च
इस नये आमराई में पहुँचकर|Having reached this new mango forest|आसाद्य आम्र-वनीम् इमाम् प्रति नवाम्
वह ब्योर चखकर|having tasted the flowers|आस्वाद्य तत्-मञ्जरीम्
